,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,483.0,505.0,6662.0,5935.0,878.0,4343.0,670.0,823.0,2183.0,4028.0
01_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
02_fulfilled_demand,966.0,1010.0,13324.0,11870.0,1756.0,8686.0,1340.0,1646.0,4366.0,8056.0
02_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
03_fulfilled_demand,1449.0,1515.0,19986.0,17805.0,2634.0,13029.0,2010.0,2469.0,6549.0,12084.0
03_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
04_fulfilled_demand,1932.0,2020.0,26648.0,23740.0,3512.0,17372.0,2680.0,3292.0,8732.0,16112.0
04_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
05_fulfilled_demand,2415.0,2525.0,33310.0,29675.0,4390.0,21715.0,3350.0,4115.0,10915.0,20140.0
05_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
06_fulfilled_demand,2898.0,3030.0,39972.0,35610.0,5268.0,26058.0,4020.0,4938.0,13098.0,24168.0
06_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
07_fulfilled_demand,3381.0,3535.0,46634.0,41545.0,6146.0,30401.0,4690.0,5761.0,15281.0,28196.0
07_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
08_fulfilled_demand,3864.0,4040.0,53296.0,47480.0,7024.0,34744.0,5360.0,6584.0,17464.0,32224.0
08_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
09_fulfilled_demand,4347.0,4545.0,59958.0,53415.0,7902.0,39087.0,6030.0,7407.0,19647.0,36252.0
09_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
10_fulfilled_demand,4830.0,5050.0,66620.0,59350.0,8780.0,43430.0,6700.0,8230.0,21830.0,40280.0
10_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
11_fulfilled_demand,5313.0,5555.0,73282.0,65285.0,9658.0,47773.0,7370.0,9053.0,24013.0,44308.0
11_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
12_fulfilled_demand,5796.0,6060.0,79944.0,71220.0,10536.0,52116.0,8040.0,9876.0,26196.0,48336.0
12_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
13_fulfilled_demand,6279.0,6565.0,86606.0,77155.0,11414.0,56459.0,8710.0,10699.0,28379.0,52364.0
13_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
14_fulfilled_demand,6762.0,7070.0,93268.0,83090.0,12292.0,60802.0,9380.0,11522.0,30562.0,56392.0
14_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
15_fulfilled_demand,7245.0,7575.0,99930.0,89025.0,13170.0,65145.0,10050.0,12345.0,32745.0,60420.0
15_lost_demand,483.0,505.0,0.0,0.0,0.0,0.0,670.0,823.0,0.0,0.0
